File,liens
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63061_300.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM84029_44.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62063_135.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91120_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53039_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64025_186.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63001_298.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25120_80.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63073_370.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25091_20.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93088_223.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25122_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM81013_160.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63004_207.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92094_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62099_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62003_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56044_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92140_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56049_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52048_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63048_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM84043_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM84043_308.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52015_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25018_407.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52063_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57062_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93056_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63079_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM81013_46.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62119_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63079_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM82036_168.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91142_75.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52075_63.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52025_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61031_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61079_135.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25112_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM83034_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93056_170.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63061_212.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55023_43.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52010_131.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25037_88.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63089_375.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25121_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM83055_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_176.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92140_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25107_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM81015_46.html
